"Date","Price","Open","High","Low","Vol.","Change %"
"01-11-2019","16,685.73","16,685.73","16,685.73","16,685.73","","0.11%"
"31-10-2019","16,667.29","16,667.29","16,667.29","16,667.29","","0.28%"
"30-10-2019","16,620.07","16,620.07","16,620.07","16,620.07","","0.49%"
"29-10-2019","16,539.23","16,539.23","16,539.23","16,539.23","","1.37%"
"27-10-2019","16,315.17","16,315.17","16,315.17","16,315.17","","0.37%"
"25-10-2019","16,254.45","16,254.45","16,254.45","16,254.45","","0.01%"
"24-10-2019","16,252.63","16,252.63","16,252.63","16,252.63","","-0.19%"
"23-10-2019","16,282.84","16,282.84","16,282.84","16,282.84","","0.21%"
"22-10-2019","16,248.11","16,248.11","16,248.11","16,248.11","","-0.63%"
"18-10-2019","16,351.16","16,351.16","16,351.16","16,351.16","","0.65%"
"17-10-2019","16,245.31","16,245.31","16,245.31","16,245.31","","1.17%"
"16-10-2019","16,057.85","16,057.85","16,057.85","16,057.85","","0.31%"
"15-10-2019","16,007.83","16,007.83","16,007.83","16,007.83","","0.77%"
"14-10-2019","15,885.74","15,885.74","15,885.74","15,885.74","","0.32%"
