date,market
07/02/2002,1516.45
08/02/2002,1516.5
11/02/2002,1537.9
12/02/2002,1530.4
13/02/2002,1558.45
14/02/2002,1574.5
15/02/2002,1583.25
18/02/2002,1573.75
19/02/2002,1548.4
20/02/2002,1531.55
21/02/2002,1546.45
22/02/2002,1553.55
25/02/2002,1552.75
26/02/2002,1590.55
27/02/2002,1574.7
28/02/2002,1495.55
01/03/2002,1539.1
04/03/2002,1563.5
05/03/2002,1573.7
06/03/2002,1578.2
07/03/2002,1579.4
08/03/2002,1572.05
11/03/2002,1551.95
12/03/2002,1534.85
13/03/2002,1541.7
14/03/2002,1552.6
15/03/2002,1580.5
18/03/2002,1588.7
19/03/2002,1561.15
20/03/2002,1560.2
21/03/2002,1551.65
22/03/2002,1542.4
26/03/2002,1548.8
27/03/2002,1556.35
28/03/2002,1566.95
01/04/2002,1599
02/04/2002,1578.9
03/04/2002,1573.95
04/04/2002,1586.8
05/04/2002,1600.05
08/04/2002,1588.55
09/04/2002,1594.85
10/04/2002,1594.35
11/04/2002,1612.95
12/04/2002,1625.05
15/04/2002,1617
16/04/2002,1621.6
17/04/2002,1623.9
18/04/2002,1622.4
19/04/2002,1587.7
22/04/2002,1579.45
23/04/2002,1588.1
24/04/2002,1596.9
25/04/2002,1581
26/04/2002,1579.5
29/04/2002,1582.45
30/04/2002,1607.75
02/05/2002,1618.3
03/05/2002,1611.95
06/05/2002,1626.65
07/05/2002,1634.6
08/05/2002,1639.7
09/05/2002,1659.6
10/05/2002,1628.25
13/05/2002,1637.4
14/05/2002,1649.95
15/05/2002,1614.85
16/05/2002,1609.35
17/05/2002,1584.55
20/05/2002,1535.95
21/05/2002,1480.8
22/05/2002,1499.2
23/05/2002,1490.15
24/05/2002,1547.05
27/05/2002,1533.6
28/05/2002,1487.05
29/05/2002,1507.3
30/05/2002,1496.7
31/05/2002,1497.1
03/06/2002,1517.95
04/06/2002,1518.55
05/06/2002,1543.15
06/06/2002,1541.8
07/06/2002,1526.75
10/06/2002,1570.9
11/06/2002,1625.55
12/06/2002,1650.5
13/06/2002,1643.75
14/06/2002,1655.75
17/06/2002,1663
18/06/2002,1647.9
19/06/2002,1621.45
20/06/2002,1627
21/06/2002,1617.65
24/06/2002,1613.6
25/06/2002,1604.65
26/06/2002,1584.7
27/06/2002,1609.25
28/06/2002,1617.4
01/07/2002,1634.3
02/07/2002,1637.1
03/07/2002,1644.7
04/07/2002,1650.4
05/07/2002,1664.85
08/07/2002,1674.3
09/07/2002,1666
10/07/2002,1654.3
11/07/2002,1628.35
12/07/2002,1635.6
15/07/2002,1609.05
16/07/2002,1593.45
17/07/2002,1577.2
18/07/2002,1625.15
19/07/2002,1601.75
22/07/2002,1552.1
23/07/2002,1583.95
24/07/2002,1556.45
26/07/2002,1526.05
29/07/2002,1494.5
30/07/2002,1472
01/08/2002,1462.4
02/08/2002,1451.4
05/08/2002,1475.25
06/08/2002,1494.25
07/08/2002,1501.15
08/08/2002,1457.35
09/08/2002,1461.65
12/08/2002,1473.15
13/08/2002,1472.05
14/08/2002,1465.2
16/08/2002,1464.4
19/08/2002,1465.1
20/08/2002,1479.55
22/08/2002,1480.1
26/08/2002,1478.5
02/09/2002,1451.82
03/09/2002,1445.75
04/09/2002,1454.5
05/09/2002,1445.07
06/09/2002,1420.63
09/09/2002,1350.4
11/09/2002,1364.08
12/09/2002,1369.36
13/09/2002,1359.5
16/09/2002,1350.32
17/09/2002,1349.56
18/09/2002,1322.52
19/09/2002,1311.87
20/09/2002,1314.86
23/09/2002,1305.53
24/09/2002,1289.51
25/09/2002,1290.82
26/09/2002,1289.64
27/09/2002,1292.65
30/09/2002,1257.86
01/10/2002,1249.54
03/10/2002,1249.72
04/10/2002,1255.71
07/10/2002,1296.71
08/10/2002,1303.02
09/10/2002,1301.18
10/10/2002,1295.3
11/10/2002,1298.23
14/10/2002,1285.25
16/10/2002,1264.48
17/10/2002,1274.09
18/10/2002,1281.31
21/10/2002,1279.5
22/10/2002,1273.5
23/10/2002,1268.31
24/10/2002,1263.46
25/10/2002,1244.87
28/10/2002,1234.44
29/10/2002,1249.1
30/10/2002,1254.62
31/10/2002,1255.31
01/11/2002,1253.85
04/11/2002,1264.7
05/11/2002,1255.39
08/11/2002,1252.02
11/11/2002,1250.34
12/11/2002,1247.48
13/11/2002,1247.5
14/11/2002,1245.74
15/11/2002,1249.87
18/11/2002,1255.46
20/11/2002,1260.49
21/11/2002,1270.62
22/11/2002,1286.96
25/11/2002,1297.75
26/11/2002,1303.04
27/11/2002,1303.37
28/11/2002,1313.53
29/11/2002,1337.1
02/12/2002,1375.68
03/12/2002,1356.52
04/12/2002,1339.61
05/12/2002,1357.17
06/12/2002,1382.21
09/12/2002,1369.26
10/12/2002,1372.21
11/12/2002,1383.07
12/12/2002,1391.81
13/12/2002,1417.65
16/12/2002,1402.14
17/12/2002,1391.77
18/12/2002,1391.65
19/12/2002,1389.75
20/12/2002,1395.71
23/12/2002,1380.81
24/12/2002,1393.29
26/12/2002,1403.38
27/12/2002,1406.78
30/12/2002,1404.9
31/12/2002,1413.06
01/01/2003,1416.35
02/01/2003,1400.86
03/01/2003,1391.26
06/01/2003,1387.08
07/01/2003,1388.85
08/01/2003,1406.64
09/01/2003,1426.93
10/01/2003,1420.89
13/01/2003,1422.44
14/01/2003,1427.29
15/01/2003,1437
16/01/2003,1441.48
17/01/2003,1443.88
20/01/2003,1440.75
21/01/2003,1455.71
22/01/2003,1444.13
23/01/2003,1434.72
24/01/2003,1402.24
27/01/2003,1361.78
28/01/2003,1381.47
29/01/2003,1386.71
30/01/2003,1382.01
31/01/2003,1376.83
03/02/2003,1395.42
04/02/2003,1393.86
05/02/2003,1387.93
06/02/2003,1399.41
07/02/2003,1394.17
10/02/2003,1368.82
11/02/2003,1364.68
12/02/2003,1358.1
14/02/2003,1336.17
17/02/2003,1376.46
18/02/2003,1382.64
19/02/2003,1404.08
20/02/2003,1405.74
21/02/2003,1399.7
24/02/2003,1405.27
25/02/2003,1384.64
26/02/2003,1370.25
27/02/2003,1389.99
28/02/2003,1387.12
03/03/2003,1389.26
04/03/2003,1378.48
05/03/2003,1370.84
06/03/2003,1361.93
07/03/2003,1336.76
10/03/2003,1308.58
11/03/2003,1317.77
12/03/2003,1310.79
13/03/2003,1306
17/03/2003,1297.44
